longitude,latitude,altitude
-33.758057,18.550219,41741.17
-33.758054,18.550215,41747.8
-33.758057,18.550219,41755.56
-33.758057,18.550219,41761.04
-33.758054,18.550215,41779.22
-33.758057,18.550219,41784.05
-33.758057,18.550219,41818.99
-33.75832,18.550261,41833.18
-33.758566,18.550272,41842.81
-33.758675,18.550289,41846.61
-33.758926,18.550301,41853.07
-33.759315,18.550331,41862.47
-33.759485,18.550344,41868.18
-33.759533,18.550345,41869.53
-33.759566,18.550315,41870.56
-33.759625,18.549972,41879.91
-33.75959,18.549602,41888.16
-33.75959,18.549532,41889.85
-33.75959,18.549414,41892.06
-33.759602,18.549112,41898.7
-33.759613,18.548985,41901.7
-33.759613,18.548927,41902.76
-33.759601,18.548884,41903.8
-33.75959,18.54886,41904.72
-33.759521,18.54879,41907.07
-33.75919,18.548761,41916.92
-33.759064,18.548747,41920.71
-33.759031,18.548756,41921.83
-33.758686,18.548719,41930.97
-33.758377,18.548705,41938.8
-33.757942,18.548663,41948.66
-33.757623,18.548641,41956.87
-33.757336,18.548621,41963.49
-33.757041,18.548613,41970.48
-33.756622,18.548584,41979.51
-33.756366,18.548555,41986.41
-33.756306,18.548565,41988.52
-33.756237,18.548579,41991.48
-33.756191,18.548565,41993.11
-33.756168,18.548512,41994.84
-33.756191,18.548411,42000.56
-33.756191,18.548412,42013.86
-33.756191,18.548411,42014.36
-33.756191,18.548411,42081.2
-33.75618,18.548241,42088.69
-33.75626,18.547963,42108.28
-33.756285,18.547955,42114.33
-33.756317,18.547963,42115.21
-33.756343,18.547969,42115.81
-33.756409,18.547963,42116.89
-33.756489,18.547977,42117.97
-33.75658,18.547977,42118.83
-33.756935,18.548005,42121.21
-33.757107,18.548019,42122.42
-33.757285,18.54804,42123.34
-33.757716,18.548069,42125.42
-33.758065,18.548098,42126.62
-33.758194,18.548117,42127.21
-33.758331,18.548117,42127.71
-33.758612,18.548126,42128.67
-33.759155,18.548173,42130.43
-33.759636,18.548183,42132.05
-33.760345,18.548229,42134.35
-33.761124,18.548285,42136.49
-33.762569,18.548298,42140.97
-33.764524,18.548355,42147.1
-33.765656,18.548397,42150.31
-33.76767,18.548453,42156.07
-33.768621,18.548641,42158.34
-33.769318,18.548958,42160.48
-33.769878,18.549271,42162.29
-33.77039,18.549614,42163.88
-33.770782,18.550079,42165.33
-33.771135,18.550587,42166.74
-33.771423,18.5512,42168.24
-33.7716,18.551903,42169.79
-33.771698,18.552881,42171.95
-33.771698,18.553666,42173.52
-33.771606,18.554451,42175.23
-33.771332,18.555516,42177.32
-33.770902,18.556595,42179.58
-33.77005,18.558431,42183.6
-33.767807,18.562747,42193.38
-33.766433,18.565407,42199.08
-33.765269,18.56741,42204.08
-33.76355,18.570033,42210.45
-33.761124,18.573453,42218.83
-33.758612,18.576965,42227.35
-33.757004,18.579058,42232.87
-33.754562,18.582058,42240.99
-33.752243,18.585,42248.82
-33.750652,18.58675,42253.37
-33.748976,18.588352,42258.16
-33.747803,18.589372,42261.02
-33.745484,18.59127,42266.81
-33.741341,18.594475,42277.1
-33.738781,18.596191,42283.12
-33.735755,18.598194,42290.28
-33.734358,18.599339,42293.44
-33.7332,18.60047,42296.83
-33.731938,18.601913,42300.18
-33.730453,18.603945,42304.9
-33.727661,18.608037,42313.51
-33.726491,18.610039,42317.59
-33.72556,18.61187,42321.09
-33.724676,18.613987,42325.26
-33.723605,18.616962,42330.56
-33.720703,18.625974,42347.31
-33.719508,18.628979,42352.96
-33.716171,18.636792,42367.87
-33.713928,18.642341,42378.04
-33.710083,18.650861,42394.27
-33.70871,18.65372,42399.83
-33.705231,18.660446,42413.12
-33.70396,18.663197,42418.24
-33.701065,18.670256,42431.42
-33.696945,18.680962,42451.13
-33.694016,18.688249,42464.13
-33.69278,18.691948,42470.39
-33.689987,18.700917,42485.98
-33.687387,18.709488,42501.11
-33.684129,18.72076,42520.97
-33.6828,18.725468,42528.96
-33.681107,18.730737,42538.55
-33.679596,18.734941,42546.4
-33.677751,18.739872,42555.75
-33.675982,18.744392,42564.47
-33.674213,18.748684,42572.92
-33.672363,18.753382,42582.31
-33.671356,18.756241,42587.95
-33.669977,18.760242,42595.89
-33.668472,18.764536,42604.53
-33.667044,18.768883,42613.12
-33.665647,18.773518,42621.99
-33.66453,18.777523,42629.63
-33.663459,18.781815,42637.65
-33.662202,18.787251,42647.61
-33.660507,18.794244,42660.26
-33.659637,18.798504,42667.43
-33.658758,18.802471,42674.57
-33.657852,18.805623,42679.89
-33.656021,18.811452,42690.39
-33.654289,18.816891,42700.21
-33.652588,18.821822,42709.07
-33.650099,18.829536,42722.86
-33.648376,18.83477,42732.4
-33.646095,18.841724,42745.02
-33.643982,18.847775,42755.86
-33.642092,18.853168,42765.51
-33.640183,18.858891,42775.87
-33.638351,18.863694,42784.68
-33.6359,18.870564,42797.29
-33.633865,18.876642,42808.1
-33.632781,18.880463,42815.01
-33.631165,18.886563,42826.07
-33.629895,18.891106,42834.68
-33.628876,18.89441,42840.84
-33.628126,18.896942,42845.58
-33.625305,18.906069,42862.21
-33.622912,18.913765,42875.78
-33.619188,18.925152,42895.35
-33.617798,18.929387,42902.96
-33.616608,18.933703,42910.43
-33.615601,18.937963,42917.59
-33.614347,18.943119,42926.53
-33.612625,18.950127,42938.38
-33.611847,18.954163,42944.85
-33.610657,18.960945,42956.05
-33.6091,18.9684,42968.66
-33.607923,18.973446,42976.99
-33.606619,18.978424,42985.61
-33.604568,18.985944,42998.98
